id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,Batting_first,BF_Set,BF_wkts_fallen,BF_HScorer,BF_PlayerScored,BF_PlayerBallsfaced,BF_HWtaker,BF_HWballs,PDis_by_BF,RC_by_BF,Batting_second,BS_score,BS_wkts_fallen,BS_HScorer,BS_PlayerScored,BS_PlayerBallsfaced,BS_HWtaker,BS_HWballs,PDis_by_BS,RC_by_BS
197,2010,Bangalore,2010-03-25,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Delhi Capitals,17,0,KM Jadhav,M Chinnaswamy Stadium,BG Jerling,RE Koertzen,Delhi Capitals,183,4,KM Jadhav,50,32,AB McDonald,24.0,4.0,42.0,Royal Challengers Bangalore,166.0,9.0,MK Pandey,39.0,29.0,DW Steyn,26,2,42
198,2010,Ahmedabad,2010-03-28,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Rajasthan Royals,17,0,NV Ojha,"Sardar Patel Stadium, Motera",SS Hazare,SJA Taufel,Rajasthan Royals,177,8,NV Ojha,80,50,SW Tait,24.0,2.0,22.0,Chennai Super Kings,160.0,6.0,M Vijay,42.0,28.0,T Thushara,25,4,29
199,2010,Mumbai,2010-03-28,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,0,Mumbai Indians,41,0,Harbhajan Singh,Dr DY Patil Sports Academy,S Das,K Hariharan,Mumbai Indians,172,7,SR Tendulkar,55,45,SL Malinga,23.0,3.0,13.0,Deccan Chargers,131.0,10.0,RG Sharma,45.0,30.0,RP Singh,25,3,31
200,2010,Delhi,2010-03-29,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,normal,0,Delhi Capitals,40,0,DA Warner,Feroz Shah Kotla,SS Hazare,SJA Taufel,Delhi Capitals,177,4,DA Warner,107,72,AB McDonald,25.0,3.0,37.0,Kolkata Knight Riders,137.0,9.0,CH Gayle,30.0,22.0,CK Langeveldt,19,2,35
201,2010,Mumbai,2010-03-30,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,SL Malinga,Brabourne Stadium,BR Doctrove,SK Tarapore,Kings XI Punjab,163,10,SE Marsh,57,48,RS Bopara,24.0,3.0,31.0,Mumbai Indians,164.0,6.0,S Dhawan,50.0,40.0,SL Malinga,26,4,28
202,2010,Chennai,2010-03-31,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,0,Chennai Super Kings,0,5,M Vijay,"MA Chidambaram Stadium, Chepauk",BG Jerling,RE Koertzen,Royal Challengers Bangalore,161,4,JH Kallis,52,52,A Kumble,24.0,1.0,18.0,Chennai Super Kings,162.0,5.0,M Vijay,78.0,39.0,SB Jakati,24,3,17
203,2010,Delhi,2010-03-31,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,normal,0,Delhi Capitals,67,0,KD Karthik,Feroz Shah Kotla,HDPK Dharmasena,SJA Taufel,Delhi Capitals,188,6,KD Karthik,69,38,A Mishra,26.0,4.0,25.0,Rajasthan Royals,121.0,10.0,NV Ojha,27.0,14.0,S Narwal,25,4,36
204,2010,Kolkata,2010-04-01,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,24,0,SC Ganguly,Eden Gardens,K Hariharan,DJ Harper,Kolkata Knight Riders,181,6,SC Ganguly,88,57,CH Gayle,6.0,1.0,9.0,Deccan Chargers,157.0,5.0,HH Gibbs,50.0,48.0,Jaskaran Singh,18,2,20
205,2010,Chandigarh,2010-04-02,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,normal,0,Royal Challengers Bangalore,0,6,KP Pietersen,"Punjab Cricket Association Stadium, Mohali",BF Bowden,M Erasmus,Kings XI Punjab,181,5,KC Sangakkara,45,27,Bipul Sharma,24.0,2.0,26.0,Royal Challengers Bangalore,184.0,4.0,KP Pietersen,66.0,45.0,R Vinay Kumar,18,1,24
206,2010,Chennai,2010-04-03,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,0,Chennai Super Kings,23,0,M Vijay,"MA Chidambaram Stadium, Chepauk",RE Koertzen,RB Tiffin,Chennai Super Kings,246,5,M Vijay,127,57,DE Bollinger,26.0,2.0,19.0,Rajasthan Royals,223.0,5.0,NV Ojha,94.0,57.0,SR Watson,25,3,47
