Player,Team,Batting Innings,Runs,Bowling Innings,Wickets
RN ten Doeschate,Kolkata Knight Riders,21.0,326.0,10.0,2.0
MK Tiwary,Rising Pune Supergiant,13.0,324.0,0.0,0.0
MK Tiwary,Delhi Capitals,18.0,322.0,2.0,0.0
RV Uthappa,Mumbai Indians,14.0,320.0,0.0,0.0
YK Pathan,Sunrisers Hyderabad,20.0,319.0,2.0,1.0
Ishan Kishan,Gujarat Lions,15.0,319.0,0.0,0.0
SC Ganguly,Pune Warriors,18.0,318.0,4.0,2.0
BA Stokes,Rising Pune Supergiant,11.0,316.0,12.0,12.0
AP Tare,Mumbai Indians,22.0,313.0,0.0,0.0
KK Nair,Kings XI Punjab,13.0,312.0,0.0,0.0
M Ali,Royal Challengers Bangalore,14.0,311.0,14.0,9.0
EJG Morgan,Sunrisers Hyderabad,15.0,310.0,0.0,0.0
AJ Finch,Sunrisers Hyderabad,13.0,309.0,0.0,0.0
KM Jadhav,Royal Challengers Bangalore,16.0,309.0,0.0,0.0
KL Rahul,Sunrisers Hyderabad,16.0,308.0,0.0,0.0
DB Das,Kolkata Knight Riders,22.0,304.0,0.0,0.0
DPMD Jayawardene,Kochi Tuskers Kerala,13.0,299.0,0.0,0.0
AD Mathews,Pune Warriors,18.0,299.0,19.0,12.0
WP Saha,Kolkata Knight Riders,23.0,298.0,0.0,0.0
PA Patel,Sunrisers Hyderabad,13.0,294.0,0.0,0.0
Y Nagar,Delhi Capitals,20.0,285.0,8.0,4.0
BJ Hodge,Kochi Tuskers Kerala,14.0,285.0,4.0,7.0
RA Jadeja,Kochi Tuskers Kerala,12.0,283.0,14.0,8.0
DJG Sammy,Sunrisers Hyderabad,18.0,282.0,17.0,11.0
KD Karthik,Kings XI Punjab,13.0,282.0,0.0,0.0
GH Vihari,Sunrisers Hyderabad,21.0,280.0,5.0,1.0
MJ Lumb,Rajasthan Royals,11.0,278.0,0.0,0.0
KV Sharma,Sunrisers Hyderabad,27.0,267.0,46.0,36.0
MP Stoinis,Kings XI Punjab,15.0,266.0,18.0,13.0
Shakib Al Hasan,Sunrisers Hyderabad,14.0,259.0,20.0,16.0
LRPL Taylor,Delhi Capitals,16.0,256.0,0.0,0.0
LA Pomersbach,Kings XI Punjab,12.0,251.0,0.0,0.0
SR Watson,Royal Challengers Bangalore,22.0,250.0,24.0,25.0
AD Mathews,Kolkata Knight Riders,11.0,249.0,13.0,8.0
S Sohal,Deccan Chargers,10.0,249.0,0.0,0.0
Yuvraj Singh,Delhi Capitals,13.0,248.0,6.0,1.0
M Manhas,Pune Warriors,19.0,247.0,3.0,0.0
A Ashish Reddy,Sunrisers Hyderabad,18.0,245.0,11.0,7.0
B Chipli,Deccan Chargers,17.0,244.0,1.0,0.0
SM Katich,Kings XI Punjab,11.0,241.0,0.0,0.0
VVS Laxman,Deccan Chargers,17.0,238.0,0.0,0.0
DR Smith,Deccan Chargers,11.0,237.0,10.0,2.0
R Vinay Kumar,Royal Challengers Bangalore,28.0,237.0,63.0,72.0
NLTC Perera,Sunrisers Hyderabad,14.0,233.0,16.0,19.0
M Manhas,Delhi Capitals,14.0,232.0,0.0,0.0
SN Khan,Royal Challengers Bangalore,17.0,232.0,0.0,0.0
S Dhawan,Mumbai Indians,14.0,231.0,0.0,0.0
SW Billings,Delhi Capitals,10.0,226.0,0.0,0.0
V Shankar,Delhi Capitals,9.0,223.0,4.0,1.0
WP Saha,Sunrisers Hyderabad,15.0,223.0,0.0,0.0
JR Hopes,Kings XI Punjab,11.0,221.0,11.0,7.0
K Goel,Kings XI Punjab,16.0,218.0,6.0,0.0
MS Bisla,Kings XI Punjab,10.0,218.0,0.0,0.0
MP Stoinis,Royal Challengers Bangalore,10.0,216.0,6.0,2.0
F du Plessis,Rising Pune Supergiant,7.0,214.0,0.0,0.0
MEK Hussey,Mumbai Indians,9.0,209.0,0.0,0.0
CL White,Sunrisers Hyderabad,13.0,209.0,2.0,1.0
Q de Kock,Royal Challengers Bangalore,8.0,208.0,0.0,0.0
M Vijay,Delhi Capitals,11.0,207.0,1.0,0.0
TM Head,Royal Challengers Bangalore,10.0,205.0,5.0,2.0
PD Collingwood,Delhi Capitals,7.0,203.0,6.0,5.0
