Player,Team,Batting Innings,Runs,Bowling Innings,Wickets
S Tyagi,Chennai Super Kings,1.0,3.0,14.0,6.0
PJ Sangwan,Gujarat Lions,3.0,2.0,7.0,5.0
SB Wagh,Pune Warriors,2.0,2.0,7.0,4.0
Mashrafe Mortaza,Kolkata Knight Riders,1.0,2.0,1.0,0.0
JD Unadkat,Rising Pune Supergiant,1.0,2.0,12.0,24.0
UBT Chand,Rajasthan Royals,1.0,2.0,0.0,0.0
BB Samantray,Deccan Chargers,1.0,2.0,0.0,0.0
BAW Mendis,Pune Warriors,1.0,2.0,3.0,2.0
JD Unadkat,Royal Challengers Bangalore,2.0,2.0,13.0,13.0
SB Bangar,Kolkata Knight Riders,1.0,2.0,0.0,0.0
Mohammad Ashraful,Mumbai Indians,1.0,2.0,0.0,0.0
MM Patel,Mumbai Indians,3.0,2.0,31.0,40.0
S Randiv,Chennai Super Kings,1.0,2.0,8.0,6.0
Shoaib Akhtar,Kolkata Knight Riders,1.0,2.0,3.0,5.0
RG More,Chennai Super Kings,1.0,2.0,2.0,1.0
AG Murtaza,Mumbai Indians,1.0,2.0,8.0,6.0
M Kartik,Royal Challengers Bangalore,2.0,2.0,11.0,9.0
AS Rajpoot,Chennai Super Kings,1.0,2.0,2.0,1.0
A Singh,Rajasthan Royals,5.0,2.0,23.0,28.0
Imran Tahir,Chennai Super Kings,1.0,2.0,23.0,32.0
H Das,Deccan Chargers,1.0,2.0,0.0,0.0
WD Parnell,Delhi Capitals,1.0,2.0,8.0,6.0
IK Pathan,Gujarat Lions,1.0,2.0,1.0,0.0
RP Singh,Kochi Tuskers Kerala,4.0,2.0,14.0,13.0
J Theron,Kings XI Punjab,2.0,2.0,7.0,6.0
Pankaj Singh,Royal Challengers Bangalore,3.0,2.0,5.0,4.0
Parvez Rasool,Sunrisers Hyderabad,1.0,2.0,5.0,2.0
VS Yeligati,Mumbai Indians,1.0,2.0,2.0,0.0
KP Appanna,Royal Challengers Bangalore,3.0,2.0,13.0,9.0
RS Gavaskar,Kolkata Knight Riders,1.0,2.0,1.0,0.0
DP Vijaykumar,Deccan Chargers,1.0,1.0,9.0,4.0
PJ Sangwan,Mumbai Indians,1.0,1.0,1.0,0.0
KW Richardson,Rajasthan Royals,1.0,1.0,7.0,9.0
VS Malik,Rajasthan Royals,1.0,1.0,4.0,3.0
L Balaji,Kings XI Punjab,2.0,1.0,9.0,12.0
KW Richardson,Royal Challengers Bangalore,1.0,1.0,4.0,7.0
A Nehra,Chennai Super Kings,4.0,1.0,20.0,30.0
PM Sarvesh Kumar,Deccan Chargers,1.0,1.0,2.0,1.0
J Theron,Rajasthan Royals,1.0,1.0,1.0,1.0
A Nehra,Sunrisers Hyderabad,1.0,1.0,14.0,17.0
JD Unadkat,Delhi Capitals,2.0,1.0,10.0,9.0
VR Aaron,Delhi Capitals,3.0,1.0,11.0,10.0
KV Sharma,Royal Challengers Bangalore,1.0,1.0,0.0,0.0
L Plunkett,Delhi Capitals,2.0,1.0,7.0,4.0
T Kohli,Kings XI Punjab,1.0,1.0,0.0,0.0
H Gurney,Kolkata Knight Riders,1.0,1.0,8.0,7.0
NJ Rimmington,Kings XI Punjab,1.0,1.0,1.0,0.0
BE Hendricks,Kings XI Punjab,2.0,1.0,7.0,9.0
M Ashwin,Royal Challengers Bangalore,1.0,1.0,2.0,3.0
SE Bond,Kolkata Knight Riders,1.0,1.0,8.0,9.0
P Kumar,Mumbai Indians,1.0,1.0,3.0,3.0
Shoaib Ahmed,Deccan Chargers,3.0,1.0,7.0,5.0
B Laughlin,Rajasthan Royals,2.0,1.0,7.0,9.0
S Sreesanth,Kochi Tuskers Kerala,3.0,1.0,9.0,7.0
Mustafizur Rahman,Mumbai Indians,1.0,1.0,7.0,7.0
M de Lange,Mumbai Indians,1.0,1.0,2.0,2.0
DW Steyn,Gujarat Lions,1.0,1.0,1.0,0.0
LH Ferguson,Rising Pune Supergiant,1.0,1.0,4.0,3.0
DJ Muthuswami,Delhi Capitals,1.0,1.0,6.0,4.0
S Sreesanth,Rajasthan Royals,2.0,1.0,7.0,5.0
BAW Mendis,Kolkata Knight Riders,2.0,1.0,7.0,6.0
P Krishna,Kolkata Knight Riders,2.0,1.0,18.0,14.0
P Parameswaran,Kochi Tuskers Kerala,1.0,1.0,5.0,4.0
R Shukla,Rajasthan Royals,1.0,1.0,3.0,3.0
SB Jakati,Gujarat Lions,1.0,1.0,8.0,2.0
Mohammed Shami,Kings XI Punjab,2.0,1.0,14.0,19.0
S Lamichhane,Delhi Capitals,1.0,0.0,9.0,13.0
S Ladda,Delhi Capitals,2.0,0.0,5.0,4.0
IC Pandey,Pune Warriors,1.0,0.0,2.0,1.0
C Nanda,Mumbai Indians,1.0,0.0,3.0,2.0
YA Abdulla,Kings XI Punjab,1.0,0.0,11.0,15.0
SN Thakur,Rising Pune Supergiant,3.0,0.0,12.0,11.0
S Kaushik,Gujarat Lions,1.0,0.0,10.0,6.0
ND Doshi,Rajasthan Royals,1.0,0.0,3.0,1.0
P Parameswaran,Royal Challengers Bangalore,1.0,0.0,3.0,5.0
AB Dinda,Delhi Capitals,1.0,0.0,5.0,5.0
PJ Cummins,Kolkata Knight Riders,1.0,0.0,4.0,2.0
JDP Oram,Rajasthan Royals,1.0,0.0,2.0,1.0
Sandeep Sharma,Sunrisers Hyderabad,3.0,0.0,12.0,12.0
L Ablish,Kings XI Punjab,1.0,0.0,3.0,3.0
Harmeet Singh,Deccan Chargers,1.0,0.0,17.0,14.0
MM Patel,Gujarat Lions,1.0,0.0,2.0,1.0
M Ashwin,Rising Pune Supergiant,1.0,0.0,10.0,7.0
Imran Tahir,Rising Pune Supergiant,1.0,0.0,12.0,18.0
CJ Jordan,Sunrisers Hyderabad,1.0,0.0,2.0,1.0
V Pratap Singh,Deccan Chargers,1.0,0.0,9.0,10.0
P Raj,Kolkata Knight Riders,1.0,0.0,2.0,1.0
K Ahmed,Sunrisers Hyderabad,1.0,0.0,10.0,19.0
CK Langeveldt,Kolkata Knight Riders,1.0,0.0,4.0,8.0
BW Hilfenhaus,Chennai Super Kings,0.0,0.0,17.0,22.0
I Sharma,Sunrisers Hyderabad,0.0,0.0,23.0,19.0
Mustafizur Rahman,Sunrisers Hyderabad,0.0,0.0,17.0,17.0
IC Pandey,Chennai Super Kings,0.0,0.0,22.0,17.0
RP Singh,Royal Challengers Bangalore,0.0,0.0,11.0,13.0
L Ngidi,Chennai Super Kings,0.0,0.0,7.0,11.0
TA Boult,Sunrisers Hyderabad,0.0,0.0,8.0,10.0
Mohammed Siraj,Sunrisers Hyderabad,0.0,0.0,6.0,10.0
JD Unadkat,Kolkata Knight Riders,0.0,0.0,11.0,10.0
AM Salvi,Delhi Capitals,0.0,0.0,7.0,7.0
P Amarnath,Chennai Super Kings,0.0,0.0,6.0,7.0
Anand Rajan,Deccan Chargers,0.0,0.0,6.0,6.0
O Thomas,Rajasthan Royals,0.0,0.0,4.0,5.0
J Behrendorff,Mumbai Indians,0.0,0.0,5.0,5.0
KV Sharma,Chennai Super Kings,0.0,0.0,6.0,5.0
TG Southee,Chennai Super Kings,0.0,0.0,5.0,4.0
DP Nannes,Chennai Super Kings,0.0,0.0,5.0,4.0
Gagandeep Singh,Kings XI Punjab,0.0,0.0,4.0,3.0
I Sharma,Rising Pune Supergiant,0.0,0.0,4.0,3.0
VY Mahesh,Chennai Super Kings,0.0,0.0,4.0,3.0
A Singh,Kings XI Punjab,0.0,0.0,3.0,3.0
KM Asif,Chennai Super Kings,0.0,0.0,2.0,3.0
M de Lange,Kolkata Knight Riders,0.0,0.0,3.0,3.0
K Santokie,Mumbai Indians,0.0,0.0,2.0,3.0
K Khejroliya,Royal Challengers Bangalore,0.0,0.0,5.0,3.0
RP Singh,Rising Pune Supergiant,0.0,0.0,4.0,3.0
T Shamsi,Royal Challengers Bangalore,0.0,0.0,4.0,3.0
S Kuggeleijn,Chennai Super Kings,0.0,0.0,2.0,2.0
S Nadeem,Sunrisers Hyderabad,0.0,0.0,3.0,2.0
Anand Rajan,Sunrisers Hyderabad,0.0,0.0,2.0,2.0
S Warrier,Kolkata Knight Riders,0.0,0.0,3.0,2.0
S Badree,Chennai Super Kings,0.0,0.0,4.0,2.0
T Natarajan,Kings XI Punjab,0.0,0.0,6.0,2.0
SM Boland,Rising Pune Supergiant,0.0,0.0,2.0,2.0
Anureet Singh,Kolkata Knight Riders,0.0,0.0,2.0,2.0
D Willey,Chennai Super Kings,0.0,0.0,3.0,2.0
JO Holder,Chennai Super Kings,0.0,0.0,6.0,2.0
L Ferguson,Kolkata Knight Riders,0.0,0.0,5.0,2.0
DP Nannes,Royal Challengers Bangalore,0.0,0.0,2.0,2.0
JW Hastings,Kolkata Knight Riders,0.0,0.0,2.0,2.0
B Stanlake,Royal Challengers Bangalore,0.0,0.0,2.0,2.0
P Suyal,Mumbai Indians,0.0,0.0,5.0,2.0
A Nel,Mumbai Indians,0.0,0.0,1.0,1.0
GS Sandhu,Delhi Capitals,0.0,0.0,2.0,1.0
Harmeet Singh (2),Rajasthan Royals,0.0,0.0,1.0,1.0
M Kartik,Kings XI Punjab,0.0,0.0,2.0,1.0
V Chakravarthy,Kings XI Punjab,0.0,0.0,1.0,1.0
SS Agarwal,Gujarat Lions,0.0,0.0,1.0,1.0
TP Sudhindra,Deccan Chargers,0.0,0.0,3.0,1.0
J Yadav,Mumbai Indians,0.0,0.0,2.0,1.0
JP Faulkner,Pune Warriors,0.0,0.0,1.0,1.0
JW Hastings,Chennai Super Kings,0.0,0.0,1.0,1.0
A Roy,Mumbai Indians,0.0,0.0,1.0,1.0
SS Sarkar,Kolkata Knight Riders,0.0,0.0,2.0,1.0
SS Mundhe,Pune Warriors,0.0,0.0,1.0,1.0
SB Wagh,Rajasthan Royals,0.0,0.0,1.0,1.0
Avesh Khan,Royal Challengers Bangalore,0.0,0.0,1.0,1.0
MJ Henry,Kings XI Punjab,0.0,0.0,2.0,1.0
R Sharma,Delhi Capitals,0.0,0.0,2.0,1.0
S Ladda,Kolkata Knight Riders,0.0,0.0,3.0,1.0
B Geeves,Delhi Capitals,0.0,0.0,2.0,1.0
ND Doshi,Royal Challengers Bangalore,0.0,0.0,1.0,1.0
NB Singh,Gujarat Lions,0.0,0.0,2.0,1.0
